SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZC007-15,ERGONOMIA COGNITIVA,4-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),BN - BACHARELADO EM NEUROCIENCIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,PSICOLOGIA COGNITIVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE101-17,ESCOAMENTO MULTIFASICO,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS II,TRANSFERENCIA DE CALOR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1094-19,ESCRITA E LEITURA NA EDUCACAO EM CIENCIAS,1-1-0-2,LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LFIS - LICENCIATURA EM FISICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4007-15,ESPECTROSCOPIA,4-2-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,,,,ESTRUTURA DA MATERIA,INTERACOES ATOMICAS E MOLECULARES,LIGACOES QUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS007-17,ESTABILIDADE E CONTROLE DE AERONAVES,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,FENOMENOS MECANICOS,FUNCOES DE UMA VARIAVEL,AERONAUTICA I-A,DESEMPENHO DE AERONAVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR005-13,ESTADO E DESENVOLVIMENTO ECONOMICO NO BRASIL CONTEMPORANEO,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,INTRODUCAO A ECONOMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHO0101-15,ESTADO E RELACOES DE PODER,4-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM001-17,ESTADO SOLIDO,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,FISICA QUANTICA,MATERIAIS E SUAS PROPRIEDADES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG011-17,ESTATISTICA APLICADA A SISTEMAS DE GESTAO,2-2-0-4,EGES - ENGENHARIA DE GESTAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2007-13,ESTETICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2008-13,ESTETICA: PERSPECTIVAS CONTEMPORANEAS,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG018-17,ESTRATEGIAS DE COMUNICACAO ORGANIZACIONAL,4-0-0-5,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,MODELOS DE COMUNICACAO NAS ORGANIZACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3007-15,ESTRUTURA ATOMICA E MOLECULAR,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,INTERACOES ATOMICAS E MOLECULARES,CALCULO VETORIAL E TENSORIAL,MECANICA QUANTICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK0102-15,ESTRUTURA DA MATERIA,3-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4049-15,ESTRUTURA DA MATERIA AVANCADA,2-4-0-8,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,FUNCOES DE UMA VARIAVEL,ESTRUTURA DA MATERIA,FISICA QUANTICA,INTERACOES ATOMICAS E MOLECULARES,FUNCOES DE VARIAS VARIAVEIS,TRANSFORMACOES QUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQ0602-15,ESTRUTURA E DINAMICA SOCIAL,3-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2129-18,ESTRUTURALISMO E POS-ESTRUTURALISMO,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHQ0004-19,ESTUDOS DE GENERO,3-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT007-17,ESTUDOS DO MEIO FISICO,4-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR030-21,ESTUDOS ESTRATEGICOS E DEFESA,4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHQ0002-15,ESTUDOS ETNICO-RACIAIS,3-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4077-20,ESTUDOS QUEER E EDUCACAO,3-0-0-4,LQ - LICENCIATURA EM QUIMICA (OL),LFIS - LICENCIATURA EM FISICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2009-13,ETICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2010-18,ETICA CONTEMPORANEA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2137-18,ETICA E CONHECIMENTO,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP0001-15,ETICA E JUSTICA,4-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1024-15,ETNOFARMACOLOGIA,2-1-0-2,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0012-19,"EUROPA MEDIEVAL: CULTURA, POLITICA E SOCIEDADE",4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0013-19,EUROPA MODERNA E CONTEMPORANEA: CULTURA E PROCESSOS POLITICOS,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1062-15,EVOLUCAO,4-0-0-4,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,SISTEMATICA E BIOGEOGRAFIA,GENETICA I,GENETICA II,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3008-22,EVOLUCAO DA FISICA I,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,FENOMENOS MECANICOS,FENOMENOS TERMICOS,FENOMENOS ELETROMAGNETICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3092-22,EVOLUCAO DA FISICA II,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,,FENOMENOS MECANICOS,FENOMENOS TERMICOS,FENOMENOS ELETROMAGNETICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB035-17,EVOLUCAO DOS CONCEITOS MATEMATICOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,BASES MATEMATICAS,FUNCOES DE UMA VARIAVEL,BASES EPISTEMOLOGICAS DA CIENCIA MODERNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1067-15,EVOLUCAO E DIVERSIDADE DE PLANTAS I,2-2-0-2,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,SISTEMATICA E BIOGEOGRAFIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1068-15,EVOLUCAO E DIVERSIDADE DE PLANTAS II,2-4-0-4,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,SISTEMATICA E BIOGEOGRAFIA,EVOLUCAO E DIVERSIDADE DE PLANTAS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIL0304-15,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,3-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1026-15,EVOLUCAO MOLECULAR,3-0-0-3,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,GENETICA I,GENETICA II,EVOLUCAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4015-15,EXPERIMENTACAO E ENSINO DE QUIMICA,0-3-0-4,LQ - LICENCIATURA EM QUIMICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,,PRATICAS DE ENSINO DE QUIMICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB014-17,EXTENSOES ALGEBRICAS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),,,,,,,,,,,,,,,,ALGEBRA LINEAR AVANCADA I,GRUPOS,ANEIS E CORPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1027-15,FARMACOLOGIA,4-2-0-4,BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHP007-13,FEDERALISMO E POLITICAS PUBLICAS,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2012-13,FENOMENOLOGIA E FILOSOFIA HERMENEUTICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,HISTORIA DA FILOSOFIA MODERNA: PERSPECTIVAS RACIONALISTAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO016-17,FENOMENOS DE TRANSPORTE,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (L),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (L),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,FENOMENOS TERMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCJ0203-15,FENOMENOS ELETROMAGNETICOS,4-1-0-6,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,FENOMENOS MECANICOS,GEOMETRIA ANALITICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCJ0204-15,FENOMENOS MECANICOS,4-1-0-6,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,,,,GEOMETRIA ANALITICA,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCJ0205-15,FENOMENOS TERMICOS,3-1-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,ESTRUTURA DA MATERIA,FENOMENOS MECANICOS,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4068-15,FERMENTACAO INDUSTRIAL,2-2-0-2,BQ - BACHARELADO EM QUIMICA (OL),,,,,,,,,,,,,,,,RECOMENDA-SE QUE O ALUNO TENHA FEITO DISCIPLINAS BASICAS DE QUIMICA E BIOQUIMICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2094-16,FILOSOFIA AFRICANA,4-0-0-4,LM - LICENCIATURA EM MATEMATICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2013-11,FILOSOFIA BRASILEIRA: HISTORIA E PROBLEMAS,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,FILOSOFIA NO BRASIL E NA AMERICA LATINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2085-16,FILOSOFIA DA ARTE,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OBR),BFIL - BACHARELADO EM FILOSOFIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2106-18,FILOSOFIA DA CIENCIA,4-0-0-4,LQ - LICENCIATURA EM QUIMICA (OL),BFIL - BACHARELADO EM FILOSOFIA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2017-16,FILOSOFIA DA EDUCACAO,4-0-0-4,LQ - LICENCIATURA EM QUIMICA (OL),BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,, .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2018-11,FILOSOFIA DA EDUCACAO: PERSPECTIVAS CONTEMPORANEAS,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2095-16,FILOSOFIA DA ESCOLA: MODELOS INSTITUCIONAIS E QUESTOES FILOSOFICAS,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OL),LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2139-18,FILOSOFIA DA HISTORIA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH2019-13,FILOSOFIA DA LINGUAGEM,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
